ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Product,Category,Cost_per_box,Geo,Region,Sales_person,Team,Cost,Profit,Margin_pct,Year,Month
S00000062,SP01,P01,G3,2024-08-14,1291.5,65,Delivered,Milk Bars,Bars,5.26,Canada,Americas,Ramalingam Kothapeta,Yummies,341.9,949.6,73.53,2024,2024-08
S00000063,SP01,P01,G4,2024-10-10,11313.0,539,Delivered,Milk Bars,Bars,5.26,New Zealand,APAC,Ramalingam Kothapeta,Yummies,2835.14,8477.86,74.94,2024,2024-10
S00000080,SP01,P01,G5,2025-02-10,6059.25,289,Shipped,Milk Bars,Bars,5.26,Australia,APAC,Ramalingam Kothapeta,Yummies,1520.1399999999999,4539.110000000001,74.91,2025,2025-02
S00000085,SP01,P01,G1,2024-07-10,3163.5,159,Delivered,Milk Bars,Bars,5.26,India,APAC,Ramalingam Kothapeta,Yummies,836.3399999999999,2327.16,73.56,2024,2024-07
S00000093,SP01,P01,G4,2024-04-09,9659.25,460,Delivered,Milk Bars,Bars,5.26,New Zealand,APAC,Ramalingam Kothapeta,Yummies,2419.6,7239.65,74.95,2024,2024-04
S00000094,SP01,P01,G5,2023-04-06,4740.75,198,Delivered,Milk Bars,Bars,5.26,Australia,APAC,Ramalingam Kothapeta,Yummies,1041.48,3699.27,78.03,2023,2023-04
S00000095,SP01,P01,G5,2023-12-21,8433.0,338,Delivered,Milk Bars,Bars,5.26,Australia,APAC,Ramalingam Kothapeta,Yummies,1777.8799999999999,6655.12,78.92,2023,2023-12
S00000100,SP01,P01,G1,2023-05-29,9297.0,358,Delivered,Milk Bars,Bars,5.26,India,APAC,Ramalingam Kothapeta,Yummies,1883.08,7413.92,79.75,2023,2023-05
S00000109,SP01,P01,G5,2023-10-23,3694.5,143,Delivered,Milk Bars,Bars,5.26,Australia,APAC,Ramalingam Kothapeta,Yummies,752.18,2942.32,79.64,2023,2023-10
S00000117,SP01,P06,G2,2024-03-04,4731.75,474,Delivered,Eclairs,Bites,6.31,USA,Americas,Ramalingam Kothapeta,Yummies,2990.9399999999996,1740.8100000000004,36.79,2024,2024-03
S00000121,SP01,P06,G4,2023-09-06,13299.75,1109,Delivered,Eclairs,Bites,6.31,New Zealand,APAC,Ramalingam Kothapeta,Yummies,6997.79,6301.96,47.38,2023,2023-09
S00000128,SP01,P06,G1,2024-02-19,931.5,85,Delivered,Eclairs,Bites,6.31,India,APAC,Ramalingam Kothapeta,Yummies,536.35,395.15,42.42,2024,2024-02
S00000145,SP01,P06,G2,2024-12-06,1917.0,175,Delivered,Eclairs,Bites,6.31,USA,Americas,Ramalingam Kothapeta,Yummies,1104.25,812.75,42.4,2024,2024-12
S00000149,SP01,P06,G4,2023-11-15,16467.75,2059,Delivered,Eclairs,Bites,6.31,New Zealand,APAC,Ramalingam Kothapeta,Yummies,12992.289999999999,3475.460000000001,21.1,2023,2023-11
S00000150,SP01,P06,G5,2025-01-28,1377.0,115,Shipped,Eclairs,Bites,6.31,Australia,APAC,Ramalingam Kothapeta,Yummies,725.65,651.35,47.3,2025,2025-01
S00000151,SP01,P06,G5,2023-02-22,1849.5,265,Delivered,Eclairs,Bites,6.31,Australia,APAC,Ramalingam Kothapeta,Yummies,1672.1499999999999,177.35000000000014,9.59,2023,2023-02
S00000152,SP01,P06,G5,2025-01-17,1593.0,200,Shipped,Eclairs,Bites,6.31,Australia,APAC,Ramalingam Kothapeta,Yummies,1262.0,331.0,20.78,2025,2025-01
S00000156,SP01,P06,G1,2023-02-20,2310.75,178,Delivered,Eclairs,Bites,6.31,India,APAC,Ramalingam Kothapeta,Yummies,1123.1799999999998,1187.5700000000002,51.39,2023,2023-02
S00000161,SP01,P06,G4,2023-01-18,7980.75,726,Delivered,Eclairs,Bites,6.31,New Zealand,APAC,Ramalingam Kothapeta,Yummies,4581.0599999999995,3399.6900000000005,42.6,2023,2023-01
S00000162,SP01,P06,G4,2023-12-01,7800.75,710,Delivered,Eclairs,Bites,6.31,New Zealand,APAC,Ramalingam Kothapeta,Yummies,4480.099999999999,3320.6500000000005,42.57,2023,2023-12
S00000175,SP01,P19,G4,2023-07-14,33.75,2,Delivered,70% Dark Bites,Bites,5.04,New Zealand,APAC,Ramalingam Kothapeta,Yummies,10.08,23.67,70.13,2023,2023-07
S00000179,SP01,P19,G5,2024-06-14,3066.75,162,Delivered,70% Dark Bites,Bites,5.04,Australia,APAC,Ramalingam Kothapeta,Yummies,816.48,2250.27,73.38,2024,2024-06
S00000188,SP01,P19,G3,2023-07-25,5917.5,296,Delivered,70% Dark Bites,Bites,5.04,Canada,Americas,Ramalingam Kothapeta,Yummies,1491.84,4425.66,74.79,2023,2023-07
S00000189,SP01,P19,G4,2024-10-01,1827.0,84,Delivered,70% Dark Bites,Bites,5.04,New Zealand,APAC,Ramalingam Kothapeta,Yummies,423.36,1403.6399999999999,76.83,2024,2024-10
S00000190,SP01,P19,G4,2023-02-16,6570.0,299,Delivered,70% Dark Bites,Bites,5.04,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1506.96,5063.04,77.06,2023,2023-02
S00000209,SP01,P19,G6,2024-10-23,3161.25,132,Cancelled,70% Dark Bites,Bites,5.04,UK,Europe,Ramalingam Kothapeta,Yummies,665.28,2495.9700000000003,78.96,2024,2024-10
S00000211,SP01,P19,G1,2023-12-01,9459.0,473,Delivered,70% Dark Bites,Bites,5.04,India,APAC,Ramalingam Kothapeta,Yummies,2383.92,7075.08,74.8,2023,2023-12
S00000217,SP01,P19,G4,2024-06-11,16839.0,733,Delivered,70% Dark Bites,Bites,5.04,New Zealand,APAC,Ramalingam Kothapeta,Yummies,3694.32,13144.68,78.06,2024,2024-06
S00000226,SP01,P19,G1,2023-05-08,6050.25,276,Delivered,70% Dark Bites,Bites,5.04,India,APAC,Ramalingam Kothapeta,Yummies,1391.04,4659.21,77.01,2023,2023-05
S00000227,SP01,P19,G1,2023-12-05,1599.75,64,Delivered,70% Dark Bites,Bites,5.04,India,APAC,Ramalingam Kothapeta,Yummies,322.56,1277.19,79.84,2023,2023-12
S00000231,SP01,P19,G4,2024-07-26,3215.25,170,Delivered,70% Dark Bites,Bites,5.04,New Zealand,APAC,Ramalingam Kothapeta,Yummies,856.8,2358.45,73.35,2024,2024-07
S00000238,SP01,P15,G1,2023-10-31,3755.25,269,Delivered,Baker's Choco Chips,Bars,12.41,India,APAC,Ramalingam Kothapeta,Yummies,3338.29,416.96000000000004,11.1,2023,2023-10
S00000239,SP01,P15,G1,2023-06-29,4882.5,376,Delivered,Baker's Choco Chips,Bars,12.41,India,APAC,Ramalingam Kothapeta,Yummies,4666.16,216.34000000000015,4.43,2023,2023-06
S00000247,SP01,P15,G4,2025-03-24,4578.75,382,Placed,Baker's Choco Chips,Bars,12.41,New Zealand,APAC,Ramalingam Kothapeta,Yummies,4740.62,-161.8699999999999,-3.54,2025,2025-03
S00000252,SP01,P15,G1,2024-05-14,371.25,38,Delivered,Baker's Choco Chips,Bars,12.41,India,APAC,Ramalingam Kothapeta,Yummies,471.58,-100.32999999999998,-27.02,2024,2024-05
S00000256,SP01,P15,G2,2025-02-10,3921.75,246,Shipped,Baker's Choco Chips,Bars,12.41,USA,Americas,Ramalingam Kothapeta,Yummies,3052.86,868.8899999999999,22.16,2025,2025-02
S00000266,SP01,P15,G1,2024-02-01,2281.5,176,Delivered,Baker's Choco Chips,Bars,12.41,India,APAC,Ramalingam Kothapeta,Yummies,2184.16,97.34000000000015,4.27,2024,2024-02
S00000267,SP01,P15,G1,2023-09-11,4191.75,350,Delivered,Baker's Choco Chips,Bars,12.41,India,APAC,Ramalingam Kothapeta,Yummies,4343.5,-151.75,-3.62,2023,2023-09
S00000272,SP01,P15,G3,2023-03-10,9229.5,616,Delivered,Baker's Choco Chips,Bars,12.41,Canada,Americas,Ramalingam Kothapeta,Yummies,7644.56,1584.9399999999996,17.17,2023,2023-03
S00000278,SP01,P15,G5,2025-01-14,5004.0,417,Shipped,Baker's Choco Chips,Bars,12.41,Australia,APAC,Ramalingam Kothapeta,Yummies,5174.97,-170.97000000000025,-3.42,2025,2025-01
S00000279,SP01,P15,G6,2025-03-24,8525.25,711,Placed,Baker's Choco Chips,Bars,12.41,UK,Europe,Ramalingam Kothapeta,Yummies,8823.51,-298.2600000000002,-3.5,2025,2025-03
S00000285,SP01,P15,G2,2023-11-29,2920.5,293,Delivered,Baker's Choco Chips,Bars,12.41,USA,Americas,Ramalingam Kothapeta,Yummies,3636.13,-715.6300000000001,-24.5,2023,2023-11
S00000288,SP01,P15,G4,2023-06-19,2085.75,131,Delivered,Baker's Choco Chips,Bars,12.41,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1625.71,460.03999999999996,22.06,2023,2023-06
S00000290,SP01,P15,G5,2024-01-22,8597.25,538,Delivered,Baker's Choco Chips,Bars,12.41,Australia,APAC,Ramalingam Kothapeta,Yummies,6676.58,1920.67,22.34,2024,2024-01
S00000292,SP01,P15,G5,2024-12-11,387.0,33,Delivered,Baker's Choco Chips,Bars,12.41,Australia,APAC,Ramalingam Kothapeta,Yummies,409.53000000000003,-22.53000000000003,-5.82,2024,2024-12
S00000304,SP01,P15,G5,2024-11-01,3300.75,367,Delivered,Baker's Choco Chips,Bars,12.41,Australia,APAC,Ramalingam Kothapeta,Yummies,4554.47,-1253.7200000000003,-37.98,2024,2024-11
S00000305,SP01,P15,G5,2025-01-28,2837.25,203,Shipped,Baker's Choco Chips,Bars,12.41,Australia,APAC,Ramalingam Kothapeta,Yummies,2519.23,318.02,11.21,2025,2025-01
S00000311,SP01,P11,G1,2023-12-28,5712.75,440,Delivered,After Nines,Bites,10.23,India,APAC,Ramalingam Kothapeta,Yummies,4501.2,1211.5500000000002,21.21,2023,2023-12
S00000320,SP01,P11,G5,2024-12-13,4767.75,530,Delivered,After Nines,Bites,10.23,Australia,APAC,Ramalingam Kothapeta,Yummies,5421.900000000001,-654.1500000000005,-13.72,2024,2024-12
S00000329,SP01,P11,G4,2023-02-27,1912.5,213,Delivered,After Nines,Bites,10.23,New Zealand,APAC,Ramalingam Kothapeta,Yummies,2178.9900000000002,-266.49000000000024,-13.93,2023,2023-02
S00000332,SP01,P11,G5,2023-01-09,6768.0,564,Delivered,After Nines,Bites,10.23,Australia,APAC,Ramalingam Kothapeta,Yummies,5769.72,998.2799999999997,14.75,2023,2023-01
S00000336,SP01,P11,G1,2024-03-14,416.25,60,Delivered,After Nines,Bites,10.23,India,APAC,Ramalingam Kothapeta,Yummies,613.8000000000001,-197.55000000000007,-47.46,2024,2024-03
S00000337,SP01,P11,G1,2024-10-08,5256.0,405,Delivered,After Nines,Bites,10.23,India,APAC,Ramalingam Kothapeta,Yummies,4143.150000000001,1112.8499999999995,21.17,2024,2024-10
S00000340,SP01,P11,G2,2024-01-25,3685.5,410,Delivered,After Nines,Bites,10.23,USA,Americas,Ramalingam Kothapeta,Yummies,4194.3,-508.8000000000002,-13.81,2024,2024-01
S00000349,SP01,P11,G6,2023-10-16,1554.75,130,Delivered,After Nines,Bites,10.23,UK,Europe,Ramalingam Kothapeta,Yummies,1329.9,224.8499999999999,14.46,2023,2023-10
S00000354,SP01,P11,G2,2025-03-10,1512.0,216,Placed,After Nines,Bites,10.23,USA,Americas,Ramalingam Kothapeta,Yummies,2209.6800000000003,-697.6800000000003,-46.14,2025,2025-03
S00000359,SP01,P11,G4,2024-10-18,1260.0,105,Delivered,After Nines,Bites,10.23,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1074.15,185.8499999999999,14.75,2024,2024-10
S00000362,SP01,P11,G5,2024-03-18,1858.5,207,Delivered,After Nines,Bites,10.23,Australia,APAC,Ramalingam Kothapeta,Yummies,2117.61,-259.1100000000001,-13.94,2024,2024-03
S00000377,SP01,P10,G6,2024-04-10,2756.25,154,Delivered,Spicy Special Slims,Bites,8.22,UK,Europe,Ramalingam Kothapeta,Yummies,1265.88,1490.37,54.07,2024,2024-04
S00000383,SP01,P10,G2,2023-05-24,5935.5,330,Delivered,Spicy Special Slims,Bites,8.22,USA,Americas,Ramalingam Kothapeta,Yummies,2712.6000000000004,3222.8999999999996,54.3,2023,2023-05
S00000390,SP01,P10,G5,2023-02-21,4207.5,301,Delivered,Spicy Special Slims,Bites,8.22,Australia,APAC,Ramalingam Kothapeta,Yummies,2474.2200000000003,1733.2799999999997,41.2,2023,2023-02
S00000400,SP01,P10,G4,2024-06-17,2709.0,151,Delivered,Spicy Special Slims,Bites,8.22,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1241.22,1467.78,54.18,2024,2024-06
S00000401,SP01,P10,G4,2024-09-19,5791.5,446,Delivered,Spicy Special Slims,Bites,8.22,New Zealand,APAC,Ramalingam Kothapeta,Yummies,3666.1200000000003,2125.3799999999997,36.7,2024,2024-09
S00000402,SP01,P10,G5,2023-12-26,8721.0,513,Delivered,Spicy Special Slims,Bites,8.22,Australia,APAC,Ramalingam Kothapeta,Yummies,4216.860000000001,4504.139999999999,51.65,2023,2023-12
S00000403,SP01,P10,G5,2025-02-20,6894.0,575,Shipped,Spicy Special Slims,Bites,8.22,Australia,APAC,Ramalingam Kothapeta,Yummies,4726.5,2167.5,31.44,2025,2025-02
S00000407,SP01,P04,G1,2024-06-27,5658.75,247,Cancelled,Raspberry Choco,Bars,3.85,India,APAC,Ramalingam Kothapeta,Yummies,950.95,4707.8,83.2,2024,2024-06
S00000417,SP01,P04,G5,2025-02-24,2900.25,101,Shipped,Raspberry Choco,Bars,3.85,Australia,APAC,Ramalingam Kothapeta,Yummies,388.85,2511.4,86.59,2025,2025-02
S00000422,SP01,P04,G1,2023-10-17,3755.25,157,Delivered,Raspberry Choco,Bars,3.85,India,APAC,Ramalingam Kothapeta,Yummies,604.45,3150.8,83.9,2023,2023-10
S00000429,SP01,P04,G4,2023-09-05,13045.5,484,Delivered,Raspberry Choco,Bars,3.85,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1863.4,11182.1,85.72,2023,2023-09
S00000435,SP01,P04,G1,2023-01-06,7260.75,269,Delivered,Raspberry Choco,Bars,3.85,India,APAC,Ramalingam Kothapeta,Yummies,1035.65,6225.1,85.74,2023,2023-01
S00000437,SP01,P04,G1,2024-10-29,15813.0,659,Delivered,Raspberry Choco,Bars,3.85,India,APAC,Ramalingam Kothapeta,Yummies,2537.15,13275.85,83.96,2024,2024-10
S00000438,SP01,P04,G2,2023-10-23,4113.0,165,Delivered,Raspberry Choco,Bars,3.85,USA,Americas,Ramalingam Kothapeta,Yummies,635.25,3477.75,84.56,2023,2023-10
S00000439,SP01,P04,G2,2023-02-22,11389.5,439,Delivered,Raspberry Choco,Bars,3.85,USA,Americas,Ramalingam Kothapeta,Yummies,1690.15,9699.35,85.16,2023,2023-02
S00000444,SP01,P04,G5,2023-12-27,6174.0,238,Delivered,Raspberry Choco,Bars,3.85,Australia,APAC,Ramalingam Kothapeta,Yummies,916.3000000000001,5257.7,85.16,2023,2023-12
S00000448,SP01,P04,G1,2024-12-25,7130.25,265,Delivered,Raspberry Choco,Bars,3.85,India,APAC,Ramalingam Kothapeta,Yummies,1020.25,6110.0,85.69,2024,2024-12
S00000467,SP01,P16,G2,2024-12-18,9560.25,456,Delivered,Organic Choco Syrup,Other,9.57,USA,Americas,Ramalingam Kothapeta,Yummies,4363.92,5196.33,54.35,2024,2024-12
S00000485,SP01,P16,G4,2024-10-30,10226.25,394,Delivered,Organic Choco Syrup,Other,9.57,New Zealand,APAC,Ramalingam Kothapeta,Yummies,3770.58,6455.67,63.13,2024,2024-10
S00000488,SP01,P16,G5,2023-02-28,17037.0,656,Delivered,Organic Choco Syrup,Other,9.57,Australia,APAC,Ramalingam Kothapeta,Yummies,6277.92,10759.08,63.15,2023,2023-02
S00000504,SP01,P16,G1,2023-10-24,3933.0,197,Delivered,Organic Choco Syrup,Other,9.57,India,APAC,Ramalingam Kothapeta,Yummies,1885.29,2047.71,52.06,2023,2023-10
S00000505,SP01,P16,G1,2024-12-16,10608.75,409,Delivered,Organic Choco Syrup,Other,9.57,India,APAC,Ramalingam Kothapeta,Yummies,3914.13,6694.62,63.1,2024,2024-12
S00000506,SP01,P16,G1,2023-12-14,3843.0,175,Delivered,Organic Choco Syrup,Other,9.57,India,APAC,Ramalingam Kothapeta,Yummies,1674.75,2168.25,56.42,2023,2023-12
S00000511,SP01,P16,G4,2023-10-16,5442.75,210,Delivered,Organic Choco Syrup,Other,9.57,New Zealand,APAC,Ramalingam Kothapeta,Yummies,2009.7,3433.05,63.08,2023,2023-10
S00000519,SP01,P16,G1,2024-07-04,5348.25,268,Delivered,Organic Choco Syrup,Other,9.57,India,APAC,Ramalingam Kothapeta,Yummies,2564.76,2783.49,52.04,2024,2024-07
S00000528,SP01,P16,G5,2023-09-18,4864.5,212,Delivered,Organic Choco Syrup,Other,9.57,Australia,APAC,Ramalingam Kothapeta,Yummies,2028.8400000000001,2835.66,58.29,2023,2023-09
S00000539,SP01,P16,G4,2023-08-25,2515.5,94,Delivered,Organic Choco Syrup,Other,9.57,New Zealand,APAC,Ramalingam Kothapeta,Yummies,899.58,1615.92,64.24,2023,2023-08
S00000590,SP01,P21,G1,2024-02-13,497.25,32,Delivered,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,106.24,391.01,78.63,2024,2024-02
S00000591,SP01,P21,G1,2024-12-10,4830.75,211,Delivered,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,700.52,4130.23,85.5,2024,2024-12
S00000601,SP01,P21,G6,2023-09-29,1428.75,76,Delivered,Choco Coated Almonds,Bites,3.32,UK,Europe,Ramalingam Kothapeta,Yummies,252.32,1176.43,82.34,2023,2023-09
S00000603,SP01,P21,G1,2023-04-05,9200.25,576,Delivered,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,1912.32,7287.93,79.21,2023,2023-04
S00000604,SP01,P21,G1,2025-01-14,8982.0,450,Cancelled,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,1494.0,7488.0,83.37,2025,2025-01
S00000605,SP01,P21,G1,2025-03-07,10374.75,495,Placed,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,1643.3999999999999,8731.35,84.16,2025,2025-03
S00000609,SP01,P21,G4,2023-11-08,3656.25,159,Delivered,Choco Coated Almonds,Bites,3.32,New Zealand,APAC,Ramalingam Kothapeta,Yummies,527.88,3128.37,85.56,2023,2023-11
S00000612,SP01,P21,G5,2025-03-25,5987.25,375,Placed,Choco Coated Almonds,Bites,3.32,Australia,APAC,Ramalingam Kothapeta,Yummies,1245.0,4742.25,79.21,2025,2025-03
S00000614,SP01,P21,G5,2023-05-22,4983.75,250,Delivered,Choco Coated Almonds,Bites,3.32,Australia,APAC,Ramalingam Kothapeta,Yummies,830.0,4153.75,83.35,2023,2023-05
S00000617,SP01,P21,G1,2024-07-30,3141.0,150,Cancelled,Choco Coated Almonds,Bites,3.32,India,APAC,Ramalingam Kothapeta,Yummies,498.0,2643.0,84.15,2024,2024-07
S00000620,SP01,P21,G2,2024-11-18,8300.25,378,Delivered,Choco Coated Almonds,Bites,3.32,USA,Americas,Ramalingam Kothapeta,Yummies,1254.96,7045.29,84.88,2024,2024-11
S00000625,SP01,P21,G4,2024-10-18,481.5,29,Delivered,Choco Coated Almonds,Bites,3.32,New Zealand,APAC,Ramalingam Kothapeta,Yummies,96.28,385.22,80.0,2024,2024-10
S00000639,SP01,P05,G4,2023-03-27,3478.5,134,Delivered,Mint Chip Choco,Bars,5.72,New Zealand,APAC,Ramalingam Kothapeta,Yummies,766.48,2712.02,77.97,2023,2023-03
S00000663,SP01,P05,G2,2024-01-04,11234.25,469,Delivered,Mint Chip Choco,Bars,5.72,USA,Americas,Ramalingam Kothapeta,Yummies,2682.68,8551.57,76.12,2024,2024-01
S00000672,SP01,P05,G1,2024-12-06,3982.5,182,Delivered,Mint Chip Choco,Bars,5.72,India,APAC,Ramalingam Kothapeta,Yummies,1041.04,2941.46,73.86,2024,2024-12
S00000679,SP01,P05,G4,2023-02-16,5505.75,221,Delivered,Mint Chip Choco,Bars,5.72,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1264.12,4241.63,77.04,2023,2023-02
S00000681,SP01,P05,G4,2024-11-13,5051.25,211,Delivered,Mint Chip Choco,Bars,5.72,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1206.9199999999998,3844.33,76.11,2024,2024-11
S00000694,SP01,P12,G4,2024-04-03,3735.0,156,Delivered,Fruit & Nut Bars,Bars,4.74,New Zealand,APAC,Ramalingam Kothapeta,Yummies,739.44,2995.56,80.2,2024,2024-04
S00000710,SP01,P12,G5,2024-09-12,3798.0,211,Cancelled,Fruit & Nut Bars,Bars,4.74,Australia,APAC,Ramalingam Kothapeta,Yummies,1000.1400000000001,2797.8599999999997,73.67,2024,2024-09
S00000711,SP01,P12,G5,2025-02-20,7209.0,401,Shipped,Fruit & Nut Bars,Bars,4.74,Australia,APAC,Ramalingam Kothapeta,Yummies,1900.74,5308.26,73.63,2025,2025-02
S00000715,SP01,P12,G1,2023-12-05,7157.25,377,Cancelled,Fruit & Nut Bars,Bars,4.74,India,APAC,Ramalingam Kothapeta,Yummies,1786.98,5370.27,75.03,2023,2023-12
S00000716,SP01,P12,G1,2024-05-02,8244.0,393,Delivered,Fruit & Nut Bars,Bars,4.74,India,APAC,Ramalingam Kothapeta,Yummies,1862.8200000000002,6381.18,77.4,2024,2024-05
S00000720,SP01,P12,G3,2023-10-18,2790.0,122,Delivered,Fruit & Nut Bars,Bars,4.74,Canada,Americas,Ramalingam Kothapeta,Yummies,578.28,2211.7200000000003,79.27,2023,2023-10
S00000730,SP01,P03,G1,2024-07-24,8878.5,387,Delivered,Almond Choco,Bars,5.15,India,APAC,Ramalingam Kothapeta,Yummies,1993.0500000000002,6885.45,77.55,2024,2024-07
S00000732,SP01,P03,G2,2024-09-04,459.0,20,Delivered,Almond Choco,Bars,5.15,USA,Americas,Ramalingam Kothapeta,Yummies,103.0,356.0,77.56,2024,2024-09
S00000737,SP01,P03,G4,2023-01-20,6309.0,275,Delivered,Almond Choco,Bars,5.15,New Zealand,APAC,Ramalingam Kothapeta,Yummies,1416.25,4892.75,77.55,2023,2023-01
S00000742,SP01,P03,G1,2025-03-05,6378.75,319,Placed,Almond Choco,Bars,5.15,India,APAC,Ramalingam Kothapeta,Yummies,1642.8500000000001,4735.9,74.24,2025,2025-03
S00000744,SP01,P03,G1,2024-09-26,5798.25,306,Delivered,Almond Choco,Bars,5.15,India,APAC,Ramalingam Kothapeta,Yummies,1575.9,4222.35,72.82,2024,2024-09
S00000746,SP01,P03,G2,2024-11-21,2461.5,137,Delivered,Almond Choco,Bars,5.15,USA,Americas,Ramalingam Kothapeta,Yummies,705.5500000000001,1755.9499999999998,71.34,2024,2024-11
S00000755,SP01,P03,G6,2024-07-02,3172.5,167,Delivered,Almond Choco,Bars,5.15,UK,Europe,Ramalingam Kothapeta,Yummies,860.0500000000001,2312.45,72.89,2024,2024-07
S00000760,SP01,P03,G2,2024-09-27,2301.75,105,Cancelled,Almond Choco,Bars,5.15,USA,Americas,Ramalingam Kothapeta,Yummies,540.75,1761.0,76.51,2024,2024-09
S00000766,SP01,P03,G5,2024-07-03,6655.5,303,Delivered,Almond Choco,Bars,5.15,Australia,APAC,Ramalingam Kothapeta,Yummies,1560.45,5095.05,76.55,2024,2024-07
S00000770,SP01,P03,G1,2024-08-06,5168.25,216,Delivered,Almond Choco,Bars,5.15,India,APAC,Ramalingam Kothapeta,Yummies,1112.4,4055.85,78.48,2024,2024-08
S00000773,SP01,P03,G1,2024-10-08,4466.25,187,Delivered,Almond Choco,Bars,5.15,India,APAC,Ramalingam Kothapeta,Yummies,963.0500000000001,3503.2,78.44,2024,2024-10
S00000780,SP01,P03,G5,2023-09-22,533.25,30,Delivered,Almond Choco,Bars,5.15,Australia,APAC,Ramalingam Kothapeta,Yummies,154.5,378.75,71.03,2023,2023-09
S00000783,SP01,P03,G6,2024-11-20,774.0,46,Delivered,Almond Choco,Bars,5.15,UK,Europe,Ramalingam Kothapeta,Yummies,236.9,537.1,69.39,2024,2024-11
S00000796,SP01,P03,G5,2023-07-28,3852.0,214,Delivered,Almond Choco,Bars,5.15,Australia,APAC,Ramalingam Kothapeta,Yummies,1102.1000000000001,2749.8999999999996,71.39,2023,2023-07
S00000805,SP01,P03,G4,2024-03-22,13065.75,688,Delivered,Almond Choco,Bars,5.15,New Zealand,APAC,Ramalingam Kothapeta,Yummies,3543.2000000000003,9522.55,72.88,2024,2024-03
S00000808,SP01,P03,G5,2023-08-23,3224.25,190,Delivered,Almond Choco,Bars,5.15,Australia,APAC,Ramalingam Kothapeta,Yummies,978.5000000000001,2245.75,69.65,2023,2023-08
S00000810,SP01,P03,G5,2024-04-01,2043.0,103,Delivered,Almond Choco,Bars,5.15,Australia,APAC,Ramalingam Kothapeta,Yummies,530.45,1512.55,74.04,2024,2024-04
S00000815,SP01,P22,G1,2023-10-16,3521.25,131,Delivered,Peanut Butter Cubes,Bites,2.65,India,APAC,Ramalingam Kothapeta,Yummies,347.15,3174.1,90.14,2023,2023-10
S00000820,SP01,P22,G4,2024-11-12,261.0,11,Delivered,Peanut Butter Cubes,Bites,2.65,New Zealand,APAC,Ramalingam Kothapeta,Yummies,29.15,231.85,88.83,2024,2024-11
S00000823,SP01,P22,G5,2024-01-10,2666.25,89,Delivered,Peanut Butter Cubes,Bites,2.65,Australia,APAC,Ramalingam Kothapeta,Yummies,235.85,2430.4,91.15,2024,2024-01
